ts_iso,avg_cwnd_pkts,avg_rtt_ms,num_conns_with_cwnd
2026-03-18T17:48:05.747795+00:00,2.0,35.671,1
2026-03-18T17:48:05.951210+00:00,2.0,35.671,1
2026-03-18T17:48:06.155062+00:00,2.0,35.671,1
2026-03-18T17:48:06.359422+00:00,2.0,35.671,1
2026-03-18T17:48:06.564800+00:00,2.0,35.671,1
2026-03-18T17:48:06.776233+00:00,2.0,35.671,1
2026-03-18T17:48:06.987634+00:00,2.0,35.671,1
2026-03-18T17:48:07.197558+00:00,2.0,35.671,1
2026-03-18T17:48:07.401208+00:00,2.0,35.671,1
2026-03-18T17:48:07.605039+00:00,2.0,35.671,1
2026-03-18T17:48:07.809937+00:00,2.0,35.671,1
2026-03-18T17:48:08.014681+00:00,2.0,35.671,1
2026-03-18T17:48:08.218795+00:00,2.0,35.671,1
2026-03-18T17:48:08.422803+00:00,2.0,35.671,1
2026-03-18T17:48:08.627786+00:00,2.0,35.671,1
2026-03-18T17:48:08.836522+00:00,2.0,35.671,1
2026-03-18T17:48:09.041954+00:00,2.0,35.671,1
2026-03-18T17:48:09.246238+00:00,10.0,0.132,1
2026-03-18T17:48:09.450040+00:00,10.0,0.132,1
2026-03-18T17:48:09.655636+00:00,10.0,0.132,1
2026-03-18T17:48:09.858240+00:00,10.0,0.132,1
2026-03-18T17:48:10.061883+00:00,10.0,0.132,1
2026-03-18T17:48:10.266670+00:00,10.0,0.132,1
2026-03-18T17:48:10.471050+00:00,10.0,0.132,1
2026-03-18T17:48:10.677032+00:00,10.0,0.132,1
2026-03-18T17:48:10.882771+00:00,10.0,0.132,1
2026-03-18T17:48:11.087468+00:00,10.0,0.132,1
2026-03-18T17:48:11.292208+00:00,10.0,0.132,1
2026-03-18T17:48:11.496759+00:00,10.0,0.132,1
2026-03-18T17:48:11.702327+00:00,10.0,0.132,1
2026-03-18T17:48:11.909878+00:00,10.0,0.132,1
2026-03-18T17:48:12.113382+00:00,10.0,0.132,1
2026-03-18T17:48:12.317021+00:00,10.0,0.132,1
2026-03-18T17:48:12.520628+00:00,10.0,0.132,1
2026-03-18T17:48:12.724702+00:00,10.0,0.132,1
2026-03-18T17:48:12.930881+00:00,10.0,0.132,1
2026-03-18T17:48:13.137443+00:00,10.0,0.132,1
2026-03-18T17:48:13.348102+00:00,10.0,0.132,1
2026-03-18T17:48:13.556402+00:00,10.0,0.132,1
2026-03-18T17:48:13.766551+00:00,10.0,0.132,1
2026-03-18T17:48:13.977852+00:00,10.0,0.132,1
2026-03-18T17:48:14.192851+00:00,10.0,0.132,1
2026-03-18T17:48:14.400400+00:00,10.0,0.132,1
2026-03-18T17:48:14.607862+00:00,10.0,0.132,1
2026-03-18T17:48:14.817180+00:00,10.0,0.132,1
2026-03-18T17:48:15.026822+00:00,10.0,0.132,1
2026-03-18T17:48:15.237412+00:00,10.0,0.132,1
2026-03-18T17:48:15.447822+00:00,10.0,0.132,1
2026-03-18T17:48:15.657678+00:00,10.0,0.132,1
2026-03-18T17:48:15.871101+00:00,10.0,0.132,1
2026-03-18T17:48:16.081662+00:00,10.0,0.132,1
2026-03-18T17:48:16.289446+00:00,10.0,0.132,1
2026-03-18T17:48:16.500888+00:00,10.0,50.459,1
2026-03-18T17:48:16.712552+00:00,1.0,50.459,1
2026-03-18T17:48:16.924273+00:00,2.0,50.459,1
2026-03-18T17:48:17.127307+00:00,2.0,50.459,1
2026-03-18T17:48:17.332091+00:00,2.0,50.459,1
2026-03-18T17:48:17.537234+00:00,2.0,50.459,1
2026-03-18T17:48:17.746510+00:00,2.0,50.459,1
2026-03-18T17:48:17.954639+00:00,2.0,50.459,1
2026-03-18T17:48:18.160399+00:00,2.0,50.459,1
2026-03-18T17:48:18.368861+00:00,2.0,50.459,1
2026-03-18T17:48:18.574904+00:00,2.0,50.459,1
2026-03-18T17:48:18.787135+00:00,2.0,50.459,1
2026-03-18T17:48:18.993049+00:00,2.0,50.459,1
2026-03-18T17:48:19.198617+00:00,2.0,50.459,1
2026-03-18T17:48:19.407982+00:00,2.0,50.459,1
2026-03-18T17:48:19.623387+00:00,2.0,50.459,1
2026-03-18T17:48:19.834988+00:00,2.0,50.459,1
2026-03-18T17:48:20.043672+00:00,2.0,50.459,1
2026-03-18T17:48:20.250020+00:00,2.0,50.459,1
2026-03-18T17:48:20.455159+00:00,2.0,50.459,1
2026-03-18T17:48:20.662025+00:00,2.0,50.459,1
2026-03-18T17:48:20.872086+00:00,2.0,50.459,1
2026-03-18T17:48:21.082022+00:00,2.0,50.459,1
2026-03-18T17:48:21.293577+00:00,2.0,50.459,1
2026-03-18T17:48:21.497168+00:00,2.0,50.459,1
2026-03-18T17:48:21.705852+00:00,2.0,50.459,1
2026-03-18T17:48:21.920674+00:00,2.0,50.459,1
2026-03-18T17:48:22.131647+00:00,2.0,50.459,1
2026-03-18T17:48:22.342204+00:00,2.0,50.459,1
2026-03-18T17:48:22.556284+00:00,2.0,50.459,1
2026-03-18T17:48:22.767593+00:00,2.0,50.459,1
2026-03-18T17:48:22.977440+00:00,2.0,50.459,1
2026-03-18T17:48:23.191310+00:00,2.0,50.459,1
