ts_iso,target,rtt_ms
2026-03-18T17:44:12.179078+00:00,1.1.1.1,12.1
2026-03-18T17:44:12.381491+00:00,1.1.1.1,12.1
2026-03-18T17:44:12.587278+00:00,1.1.1.1,12.3
2026-03-18T17:44:12.788020+00:00,1.1.1.1,12.2
2026-03-18T17:44:12.988813+00:00,1.1.1.1,11.5
2026-03-18T17:44:13.190743+00:00,1.1.1.1,12.1
2026-03-18T17:44:13.392546+00:00,1.1.1.1,12.4
2026-03-18T17:44:13.597856+00:00,1.1.1.1,11.7
2026-03-18T17:44:13.802377+00:00,1.1.1.1,11.8
2026-03-18T17:44:14.006312+00:00,1.1.1.1,12.3
2026-03-18T17:44:14.212051+00:00,1.1.1.1,12.3
2026-03-18T17:44:14.413318+00:00,1.1.1.1,12.0
2026-03-18T17:44:14.613901+00:00,1.1.1.1,11.9
2026-03-18T17:44:14.818489+00:00,1.1.1.1,11.6
2026-03-18T17:44:15.018543+00:00,1.1.1.1,10.5
2026-03-18T17:44:15.224805+00:00,1.1.1.1,10.9
2026-03-18T17:44:15.427135+00:00,1.1.1.1,11.6
2026-03-18T17:44:15.630083+00:00,1.1.1.1,12.3
2026-03-18T17:44:15.834644+00:00,1.1.1.1,12.1
2026-03-18T17:44:16.035725+00:00,1.1.1.1,12.1
2026-03-18T17:44:16.239857+00:00,1.1.1.1,12.3
2026-03-18T17:44:16.441267+00:00,1.1.1.1,12.5
2026-03-18T17:44:16.647499+00:00,1.1.1.1,14.5
2026-03-18T17:44:16.848485+00:00,1.1.1.1,12.0
2026-03-18T17:44:17.054277+00:00,1.1.1.1,15.3
2026-03-18T17:44:17.252088+00:00,1.1.1.1,12.1
2026-03-18T17:44:17.454116+00:00,1.1.1.1,12.0
2026-03-18T17:44:17.656259+00:00,1.1.1.1,12.2
2026-03-18T17:44:17.860115+00:00,1.1.1.1,12.5
2026-03-18T17:44:18.061778+00:00,1.1.1.1,12.2
2026-03-18T17:44:18.263036+00:00,1.1.1.1,12.4
2026-03-18T17:44:18.465088+00:00,1.1.1.1,12.3
2026-03-18T17:44:18.665174+00:00,1.1.1.1,11.3
2026-03-18T17:44:18.867172+00:00,1.1.1.1,11.5
2026-03-18T17:44:19.068185+00:00,1.1.1.1,11.3
2026-03-18T17:44:19.268150+00:00,1.1.1.1,10.8
2026-03-18T17:44:19.470681+00:00,1.1.1.1,11.2
2026-03-18T17:44:19.671776+00:00,1.1.1.1,11.1
2026-03-18T17:44:19.875413+00:00,1.1.1.1,11.0
2026-03-18T17:44:20.079043+00:00,1.1.1.1,11.5
2026-03-18T17:44:20.281019+00:00,1.1.1.1,11.6
2026-03-18T17:44:20.482252+00:00,1.1.1.1,11.6
2026-03-18T17:44:20.688029+00:00,1.1.1.1,11.4
