ts_iso,target,rtt_ms
2026-03-18T17:33:12.061340+00:00,192.168.1.85,1.25
2026-03-18T17:33:12.261948+00:00,192.168.1.85,1.38
2026-03-18T17:33:12.462900+00:00,192.168.1.85,1.39
2026-03-18T17:33:12.665694+00:00,192.168.1.85,2.46
2026-03-18T17:33:12.867351+00:00,192.168.1.85,2.52
2026-03-18T17:33:13.068777+00:00,192.168.1.85,2.38
2026-03-18T17:33:13.270236+00:00,192.168.1.85,2.0
2026-03-18T17:33:13.471124+00:00,192.168.1.85,2.23
2026-03-18T17:33:13.672191+00:00,192.168.1.85,2.31
2026-03-18T17:33:13.873645+00:00,192.168.1.85,1.82
2026-03-18T17:33:14.074836+00:00,192.168.1.85,2.23
2026-03-18T17:33:14.278379+00:00,192.168.1.85,2.72
2026-03-18T17:33:14.477693+00:00,192.168.1.85,1.89
2026-03-18T17:33:14.678467+00:00,192.168.1.85,1.78
2026-03-18T17:33:14.880290+00:00,192.168.1.85,2.22
2026-03-18T17:33:15.081775+00:00,192.168.1.85,2.46
2026-03-18T17:33:15.281800+00:00,192.168.1.85,1.52
2026-03-18T17:33:15.485062+00:00,192.168.1.85,2.51
2026-03-18T17:33:15.687249+00:00,192.168.1.85,2.32
2026-03-18T17:33:15.889782+00:00,192.168.1.85,2.33
2026-03-18T17:33:16.132799+00:00,192.168.1.85,43.9
2026-03-18T17:33:16.328205+00:00,192.168.1.85,38.7
2026-03-18T17:33:16.536414+00:00,192.168.1.85,45.9
2026-03-18T17:33:16.735491+00:00,192.168.1.85,44.5
2026-03-18T17:33:16.939033+00:00,192.168.1.85,47.4
2026-03-18T17:33:17.141065+00:00,192.168.1.85,48.8
2026-03-18T17:33:17.342784+00:00,192.168.1.85,49.0
2026-03-18T17:33:17.546079+00:00,192.168.1.85,50.1
2026-03-18T17:33:17.732317+00:00,192.168.1.85,35.7
2026-03-18T17:33:17.943024+00:00,192.168.1.85,45.2
2026-03-18T17:33:18.136339+00:00,192.168.1.85,37.9
2026-03-18T17:33:18.331819+00:00,192.168.1.85,32.9
2026-03-18T17:33:18.533786+00:00,192.168.1.85,32.9
2026-03-18T17:33:18.750735+00:00,192.168.1.85,49.5
2026-03-18T17:33:18.943004+00:00,192.168.1.85,41.5
2026-03-18T17:33:19.154213+00:00,192.168.1.85,51.7
2026-03-18T17:33:19.350716+00:00,192.168.1.85,47.0
2026-03-18T17:33:19.549096+00:00,192.168.1.85,44.7
2026-03-18T17:33:19.755583+00:00,192.168.1.85,48.0
2026-03-18T17:33:19.941340+00:00,192.168.1.85,34.3
2026-03-18T17:33:20.157567+00:00,192.168.1.85,48.7
2026-03-18T17:33:20.351232+00:00,192.168.1.85,37.1
2026-03-18T17:33:20.554759+00:00,192.168.1.85,40.0
2026-03-18T17:33:20.759354+00:00,192.168.1.85,39.7
2026-03-18T17:33:20.964432+00:00,192.168.1.85,41.5
2026-03-18T17:33:21.157689+00:00,192.168.1.85,34.0
2026-03-18T17:33:21.371780+00:00,192.168.1.85,47.0
2026-03-18T17:33:21.571219+00:00,192.168.1.85,46.0
2026-03-18T17:33:21.761418+00:00,192.168.1.85,35.8
2026-03-18T17:33:21.960259+00:00,192.168.1.85,34.4
2026-03-18T17:33:22.160861+00:00,192.168.1.85,33.4
2026-03-18T17:33:22.364484+00:00,192.168.1.85,35.4
2026-03-18T17:33:22.578781+00:00,192.168.1.85,48.0
2026-03-18T17:33:22.770541+00:00,192.168.1.85,38.7
2026-03-18T17:33:22.989500+00:00,192.168.1.85,51.6
2026-03-18T17:33:23.177992+00:00,192.168.1.85,38.2
2026-03-18T17:33:23.379615+00:00,192.168.1.85,37.1
2026-03-18T17:33:23.577407+00:00,192.168.1.85,33.6
2026-03-18T17:33:23.790643+00:00,192.168.1.85,44.2
2026-03-18T17:33:23.997466+00:00,192.168.1.85,46.0
2026-03-18T17:33:24.204742+00:00,192.168.1.85,48.0
2026-03-18T17:33:24.409606+00:00,192.168.1.85,52.1
2026-03-18T17:33:24.604786+00:00,192.168.1.85,46.2
2026-03-18T17:33:24.803062+00:00,192.168.1.85,38.8
2026-03-18T17:33:25.002296+00:00,192.168.1.85,34.7
2026-03-18T17:33:25.221039+00:00,192.168.1.85,47.7
2026-03-18T17:33:25.430310+00:00,192.168.1.85,55.7
2026-03-18T17:33:25.620711+00:00,192.168.1.85,41.0
2026-03-18T17:33:25.823141+00:00,192.168.1.85,42.7
2026-03-18T17:33:26.035574+00:00,192.168.1.85,50.5
2026-03-18T17:33:26.236258+00:00,192.168.1.85,46.6
2026-03-18T17:33:26.429610+00:00,192.168.1.85,37.7
2026-03-18T17:33:26.641380+00:00,192.168.1.85,48.3
2026-03-18T17:33:26.845473+00:00,192.168.1.85,49.2
2026-03-18T17:33:27.029222+00:00,192.168.1.85,32.3
2026-03-18T17:33:27.241278+00:00,192.168.1.85,43.8
2026-03-18T17:33:27.435002+00:00,192.168.1.85,36.3
2026-03-18T17:33:27.646624+00:00,192.168.1.85,46.4
2026-03-18T17:33:27.855841+00:00,192.168.1.85,53.9
2026-03-18T17:33:28.050306+00:00,192.168.1.85,46.7
2026-03-18T17:33:28.241217+00:00,192.168.1.85,36.6
2026-03-18T17:33:28.455714+00:00,192.168.1.85,48.0
2026-03-18T17:33:28.644878+00:00,192.168.1.85,36.4
2026-03-18T17:33:28.859664+00:00,192.168.1.85,50.2
2026-03-18T17:33:29.050991+00:00,192.168.1.85,37.7
2026-03-18T17:33:29.249056+00:00,192.168.1.85,34.5
2026-03-18T17:33:29.454811+00:00,192.168.1.85,35.6
2026-03-18T17:33:29.655480+00:00,192.168.1.85,35.3
2026-03-18T17:33:29.864441+00:00,192.168.1.85,42.8
2026-03-18T17:33:30.054911+00:00,192.168.1.85,32.1
2026-03-18T17:33:30.263621+00:00,192.168.1.85,39.8
2026-03-18T17:33:30.466334+00:00,192.168.1.85,40.8
2026-03-18T17:33:30.672818+00:00,192.168.1.85,46.6
2026-03-18T17:33:30.871201+00:00,192.168.1.85,43.0
2026-03-18T17:33:31.067257+00:00,192.168.1.85,38.1
2026-03-18T17:33:31.266428+00:00,192.168.1.85,35.8
2026-03-18T17:33:31.473356+00:00,192.168.1.85,42.1
2026-03-18T17:33:31.677180+00:00,192.168.1.85,44.1
2026-03-18T17:33:31.871793+00:00,192.168.1.85,38.0
2026-03-18T17:33:32.083770+00:00,192.168.1.85,48.8
2026-03-18T17:33:32.277090+00:00,192.168.1.85,41.0
2026-03-18T17:33:32.472704+00:00,192.168.1.85,35.8
2026-03-18T17:33:32.680110+00:00,192.168.1.85,41.7
2026-03-18T17:33:32.892327+00:00,192.168.1.85,50.7
2026-03-18T17:33:33.077802+00:00,192.168.1.85,34.3
2026-03-18T17:33:33.279575+00:00,192.168.1.85,34.7
2026-03-18T17:33:33.494771+00:00,192.168.1.85,48.4
2026-03-18T17:33:33.695576+00:00,192.168.1.85,47.6
2026-03-18T17:33:33.894242+00:00,192.168.1.85,44.7
2026-03-18T17:33:34.088212+00:00,192.168.1.85,35.9
2026-03-18T17:33:34.299852+00:00,192.168.1.85,43.2
2026-03-18T17:33:34.491160+00:00,192.168.1.85,33.6
2026-03-18T17:33:34.701084+00:00,192.168.1.85,41.4
2026-03-18T17:33:34.905271+00:00,192.168.1.85,39.7
2026-03-18T17:33:35.101309+00:00,192.168.1.85,34.4
2026-03-18T17:33:35.302526+00:00,192.168.1.85,32.8
2026-03-18T17:33:35.520076+00:00,192.168.1.85,45.2
2026-03-18T17:33:35.711099+00:00,192.168.1.85,35.1
2026-03-18T17:33:35.919412+00:00,192.168.1.85,39.7
2026-03-18T17:33:36.124825+00:00,192.168.1.85,41.6
2026-03-18T17:33:36.336205+00:00,192.168.1.85,50.4
2026-03-18T17:33:36.522007+00:00,192.168.1.85,34.5
2026-03-18T17:33:36.730047+00:00,192.168.1.85,41.3
2026-03-18T17:33:36.941102+00:00,192.168.1.85,51.9
2026-03-18T17:33:37.137067+00:00,192.168.1.85,46.6
2026-03-18T17:33:37.334589+00:00,192.168.1.85,38.9
2026-03-18T17:33:37.542779+00:00,192.168.1.85,46.5
2026-03-18T17:33:37.731823+00:00,192.168.1.85,33.3
2026-03-18T17:33:37.943067+00:00,192.168.1.85,44.3
2026-03-18T17:33:38.137852+00:00,192.168.1.85,37.8
2026-03-18T17:33:38.350608+00:00,192.168.1.85,49.0
2026-03-18T17:33:38.547627+00:00,192.168.1.85,45.2
2026-03-18T17:33:38.746881+00:00,192.168.1.85,43.6
2026-03-18T17:33:38.942741+00:00,192.168.1.85,38.6
2026-03-18T17:33:39.157643+00:00,192.168.1.85,52.3
2026-03-18T17:33:39.346659+00:00,192.168.1.85,40.2
2026-03-18T17:33:39.554500+00:00,192.168.1.85,45.4
2026-03-18T17:33:39.760053+00:00,192.168.1.85,50.1
2026-03-18T17:33:39.961776+00:00,192.168.1.85,51.5
2026-03-18T17:33:40.154410+00:00,192.168.1.85,42.7
2026-03-18T17:33:40.353499+00:00,192.168.1.85,40.2
2026-03-18T17:33:40.547729+00:00,192.168.1.85,33.5
2026-03-18T17:33:40.750779+00:00,192.168.1.85,35.5
2026-03-18T17:33:40.959423+00:00,192.168.1.85,43.8
2026-03-18T17:33:41.151678+00:00,192.168.1.85,34.8
2026-03-18T17:33:41.355364+00:00,192.168.1.85,36.8
2026-03-18T17:33:41.557258+00:00,192.168.1.85,36.5
2026-03-18T17:33:41.763575+00:00,192.168.1.85,41.5
2026-03-18T17:33:41.972043+00:00,192.168.1.85,49.2
2026-03-18T17:33:42.166766+00:00,192.168.1.85,42.5
2026-03-18T17:33:42.357285+00:00,192.168.1.85,31.7
2026-03-18T17:33:42.560557+00:00,192.168.1.85,34.0
2026-03-18T17:33:42.773720+00:00,192.168.1.85,46.9
2026-03-18T17:33:42.964216+00:00,192.168.1.85,35.8
2026-03-18T17:33:43.163384+00:00,192.168.1.85,33.9
2026-03-18T17:33:43.366222+00:00,192.168.1.85,35.4
2026-03-18T17:33:43.574135+00:00,192.168.1.85,42.3
2026-03-18T17:33:43.768182+00:00,192.168.1.85,35.4
