ts_iso,avg_cwnd_pkts,avg_rtt_ms,num_conns_with_cwnd
2026-03-18T17:34:57.191560+00:00,10.0,0.11,1
2026-03-18T17:34:57.398371+00:00,10.0,0.11,1
2026-03-18T17:34:57.601150+00:00,10.0,0.11,1
2026-03-18T17:34:57.804407+00:00,10.0,0.11,1
2026-03-18T17:34:58.013982+00:00,10.0,0.11,1
2026-03-18T17:34:58.222503+00:00,10.0,0.11,1
2026-03-18T17:34:58.433178+00:00,10.0,0.11,1
2026-03-18T17:34:58.642764+00:00,10.0,0.11,1
2026-03-18T17:34:58.852587+00:00,10.0,0.11,1
2026-03-18T17:34:59.062198+00:00,10.0,0.11,1
2026-03-18T17:34:59.271779+00:00,10.0,0.11,1
2026-03-18T17:34:59.483768+00:00,10.0,0.11,1
2026-03-18T17:34:59.698848+00:00,10.0,0.11,1
2026-03-18T17:34:59.913491+00:00,10.0,0.11,1
2026-03-18T17:35:00.124346+00:00,10.0,0.11,1
2026-03-18T17:35:00.339009+00:00,10.0,0.11,1
2026-03-18T17:35:00.549410+00:00,10.0,0.11,1
2026-03-18T17:35:00.756422+00:00,10.0,0.11,1
2026-03-18T17:35:00.966569+00:00,10.0,0.11,1
2026-03-18T17:35:01.177192+00:00,10.0,0.11,1
2026-03-18T17:35:01.384892+00:00,10.0,0.11,1
2026-03-18T17:35:01.599993+00:00,10.0,0.11,1
2026-03-18T17:35:01.813574+00:00,10.0,0.11,1
2026-03-18T17:35:02.019862+00:00,10.0,0.11,1
2026-03-18T17:35:02.224366+00:00,10.0,0.11,1
2026-03-18T17:35:02.435689+00:00,10.0,0.11,1
2026-03-18T17:35:02.648851+00:00,10.0,0.11,1
2026-03-18T17:35:02.858738+00:00,10.0,0.11,1
2026-03-18T17:35:03.068439+00:00,10.0,0.11,1
2026-03-18T17:35:03.279483+00:00,10.0,0.11,1
2026-03-18T17:35:03.489505+00:00,10.0,0.11,1
2026-03-18T17:35:03.700202+00:00,10.0,0.11,1
2026-03-18T17:35:03.910531+00:00,10.0,0.11,1
2026-03-18T17:35:04.120600+00:00,10.0,0.11,1
2026-03-18T17:35:04.331789+00:00,10.0,0.11,1
2026-03-18T17:35:04.542011+00:00,10.0,0.11,1
